Product Name,URL,Price,Rating,Number of Ratings,Number of Reviews
"MSI Bravo 15 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX6500M/144 Hz) Bravo 15 B5ED-035IN Gaming Laptop  (15.6 inch, Black, 2.35 Kg)",https://www.flipkart.com/msi-bravo-15-ryzen-7-octa-core-5800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-amd-radeon-rx6500m-144-hz-b5ed-035in-gaming-laptop/p/itmeed218710198b?pid=COMGNY4F2QYD87BE&lid=LSTCOMGNY4F2QYD87BE9H9O25&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_Jy2UDLfP-agUA_A0xUcZr2zfco3dSkn1eApH9rPPIAuFv9u316vMIOrV0_5N958TPLrpDYIOuTFYrtTHniHFow%3D%3D&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹59,990",4.4,460 Ratings,63 Reviews
"Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 15IHU6 Gaming Laptop  (39.62 cm, Shadow Black, 2.25 kg)",https://www.flipkart.com/lenovo-ideapad-gaming-3-intel-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-15ihu6-laptop/p/itm755462af719e4?pid=COMGFM5BFZHDDB4R&lid=LSTCOMGFM5BFZHDDB4RSEPODX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_Jy2UDLfP-agUA_A0xUcZr2zfco3dSkn1eApH9rPPIAupz99RWEye-Ra92EM8Aw7MXlxfoSyrOj1WqLYCJcBiWg%3D%3D&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹55,430",4.3,"3,781 Ratings",327 Reviews
"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light Laptop  (14 inch, Natural Silver, 1.41 Kg, With MS Office)",https://www.flipkart.com/hp-14s-intel-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-dy2507tu-thin-light-laptop/p/itm183e95bd1f23b?pid=COMGG63H9BFFUYVY&lid=LSTCOMGG63H9BFFUYVYFHH552&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=ef7d14e1-fd7f-46d9-814c-11f93d12dd30.COMGG63H9BFFUYVY.SEARCH&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹35,490",4.3,"3,674 Ratings",304 Reviews
"Lenovo V15 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light Laptop  (15.6 Inch, Black, 1.7 Kg)",https://www.flipkart.com/lenovo-v15-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-g2-alc-thin-light-laptop/p/itm4691535a63daf?pid=COMGZ3SPYQJDEJWQ&lid=LSTCOMGZ3SPYQJDEJWQYSFAWR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=ef7d14e1-fd7f-46d9-814c-11f93d12dd30.COMGZ3SPYQJDEJWQ.SEARCH&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹35,990",4.2,437 Ratings,60 Reviews
"Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL30 Thin and Light Laptop  (15.36 inch, Silver, 1.76 Kg)",https://www.flipkart.com/infinix-y1-plus-neo-intel-celeron-quad-core-11th-gen-8-gb-512-gb-ssd-windows-11-home-xl30-thin-light-laptop/p/itm9c6a57a7d0e9c?pid=COMGZ7YCAAFEHRYV&lid=LSTCOMGZ7YCAAFEHRYVZVLDX7&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=FkPickId_6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=ef7d14e1-fd7f-46d9-814c-11f93d12dd30.COMGZ7YCAAFEHRYV.SEARCH&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹24,490",4.1,"1,973 Ratings",302 Reviews
"HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop  (14 inch, Natural Silver, 1.41 kg, With MS Office)",https://www.flipkart.com/hp-14s-intel-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-dy2508tu-thin-light-laptop/p/itm49f4531237a12?pid=COMGGTT4VFWG3FFM&lid=LSTCOMGGTT4VFWG3FFMB7VNLU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=ef7d14e1-fd7f-46d9-814c-11f93d12dd30.COMGGTT4VFWG3FFM.SEARCH&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹37,990",4.3,"5,406 Ratings",455 Reviews
"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Laptop  (36.62 cm, Arctic Grey, 1.65 kg, With MS Office)",https://www.flipkart.com/lenovo-ideapad-3-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15alc6-thin-light-laptop/p/itm790def6ef6b6f?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U213LU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en_Jy2UDLfP-agUA_A0xUcZr2zfco3dSkn1eApH9rPPIAvvJ0RxPfzZNPGztGhWWs3nOKrfdfXkNR4V9lNvMXyTdA%3D%3D&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹45,490",4.3,"2,364 Ratings",250 Reviews
"Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 Inch, Arctic Grey, 1.65 Kg, With MS Office)",https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-15itl6-thin-light-laptop/p/itm3a8a423a53c02?pid=COMGKC6Y2KA8HMFT&lid=LSTCOMGKC6Y2KA8HMFTCCRJQM&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=en_Jy2UDLfP-agUA_A0xUcZr2zfco3dSkn1eApH9rPPIAubpVo3qHkDG3KI9EoQ3Eh9ajVwbMxrWFdQvwLKoo6ygg%3D%3D&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹50,990",4.2,"1,099 Ratings",84 Reviews
"ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 kg, With MS Office)",https://www.flipkart.com/asus-vivobook-15-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ej522ws-thin-light-laptop/p/itm85cfbc3a2e8a7?pid=COMGFHNGGWNDVGSY&lid=LSTCOMGFHNGGWNDVGSY5C6JML&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=ef7d14e1-fd7f-46d9-814c-11f93d12dd30.COMGFHNGGWNDVGSY.SEARCH&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹47,990",4.3,"2,781 Ratings",217 Reviews
"DELL Inspiron Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) INSPIRON 3511 Thin and Light Laptop  (15.6 inch, Platinum Silver, 1.8 kg, With MS Office)",https://www.flipkart.com/dell-inspiron-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-3511-thin-light-laptop/p/itm86c520749d787?pid=COMG9QVUPFGPZGZ9&lid=LSTCOMG9QVUPFGPZGZ97GFSXO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=ef7d14e1-fd7f-46d9-814c-11f93d12dd30.COMG9QVUPFGPZGZ9.SEARCH&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹39,980",4.1,956 Ratings,138 Reviews
"Lenovo Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and Light Laptop  (15.6 inch, Cloud Grey, 1.58 Kg, With MS Office)",https://www.flipkart.com/lenovo-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-15amn7-thin-light-laptop/p/itmf886cd537d376?pid=COMGNY3BTHRQ8MJG&lid=LSTCOMGNY3BTHRQ8MJG2YIZH3&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=en_Jy2UDLfP-agUA_A0xUcZr2zfco3dSkn1eApH9rPPIAu2QD4AnoN5Sie1ISAhsCPsaCNxyNMb77RoGLc5DdiE9w%3D%3D&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹39,990",3.9,16 Ratings,1 Reviews
"Lenovo LOQ Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) 15IRH8 Gaming Laptop  (15.6 Inch, Storm Grey, 2.4 kg, With MS Office)",https://www.flipkart.com/lenovo-loq-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-15irh8-gaming-laptop/p/itm41baf988e07f9?pid=COMGRC9RP8H4FWCD&lid=LSTCOMGRC9RP8H4FWCDOAMZUW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=en_Jy2UDLfP-agUA_A0xUcZr2zfco3dSkn1eApH9rPPIAsnl_skUap0q5c1-0K1fftlUu5iJfLjEwJYA_anMcYcCw%3D%3D&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹78,990",4.9,18 Ratings,4 Reviews
"Lenovo Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 15IGL05 Laptop  (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)",https://www.flipkart.com/lenovo-intel-celeron-dual-core-8-gb-256-gb-ssd-windows-11-home-15igl05-laptop/p/itmc49d0f3a10c57?pid=COMGDMXVJJB2HGMY&lid=LSTCOMGDMXVJJB2HGMYLAIFLM&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=ef7d14e1-fd7f-46d9-814c-11f93d12dd30.COMGDMXVJJB2HGMY.SEARCH&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹28,490",4.1,"1,934 Ratings",181 Reviews
"Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light Laptop  (15.6 inch, Blue, 1.76 kg)",https://www.flipkart.com/infinix-inbook-y1-plus-intel-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-xl28-thin-light-laptop/p/itmb04a936e16757?pid=COMGMM3HXJC3TYYH&lid=LSTCOMGMM3HXJC3TYYHA4PPBX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=ef7d14e1-fd7f-46d9-814c-11f93d12dd30.COMGMM3HXJC3TYYH.SEARCH&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹28,490",4.1,"1,766 Ratings",230 Reviews
