Product Name,URL,Price,Rating,Number of Ratings,Number of Reviews
"OPPO Reno8T 5G (Midnight Black, 128 GB)  (8 GB RAM)",https://www.flipkart.com/oppo-reno8t-5g-midnight-black-128-gb/p/itm9ec7deac6401c?pid=MOBGHZ9HN27URAZH&lid=LSTMOBGHZ9HN27URAZHSHPISS&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_11&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=en_r0pd6-i0trvh1gp8EVm-4YFAUu0j1cf7VcpmvoLBeaoZgqXG9TM5El71zgVJ5fDwej0IdliLyc11ky0WJKm_qA%3D%3D&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹29,999",4.3,"14,090 Ratings","1,208 Reviews"
"POCO C55 (Cool Blue, 128 GB)  (6 GB RAM)",https://www.flipkart.com/poco-c55-cool-blue-128-gb/p/itm26aca9fd143ba?pid=MOBGMXSWJHRVUWFE&lid=LSTMOBGMXSWJHRVUWFESKZGEW&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_12&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGMXSWJHRVUWFE.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹8,499",4.2,"37,400 Ratings","2,142 Reviews"
"POCO C50 (Royal Blue, 32 GB)  (2 GB RAM)",https://www.flipkart.com/poco-c50-royal-blue-32-gb/p/itma43af9d14952e?pid=MOBGK8WZUTGDEZFA&lid=LSTMOBGK8WZUTGDEZFAWKBDLT&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_13&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGK8WZUTGDEZFA.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹5,499",4.2,"53,052 Ratings","2,542 Reviews"
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)  (4 GB RAM)",https://www.flipkart.com/samsung-galaxy-f04-opal-green-64-gb/p/itmd0c05f8b03876?pid=MOBGKY2V7QZ2QVFS&lid=LSTMOBGKY2V7QZ2QVFSGOGYVU&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_14&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGKY2V7QZ2QVFS.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹8,499",4.2,"39,284 Ratings","2,247 Reviews"
"Infinix SMART 7 (Azure Blue, 64 GB)  (4 GB RAM)",https://www.flipkart.com/infinix-smart-7-azure-blue-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2WYG2A2FM&lid=LSTMOBGMTW2WYG2A2FMSRLXTO&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_15&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGMTW2WYG2A2FM.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹6,999",4.3,"62,266 Ratings","3,033 Reviews"
"Infinix SMART 7 (Emerald Green, 128 GB)  (4 GB RAM)",https://www.flipkart.com/infinix-smart-7-emerald-green-128-gb/p/itm7b72b66485a59?pid=MOBGRH6YM3KZXNWF&lid=LSTMOBGRH6YM3KZXNWFSJXTYT&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_16&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGRH6YM3KZXNWF.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹7,599",4.3,"62,266 Ratings","3,033 Reviews"
"Infinix SMART 7 (Night Black, 128 GB)  (4 GB RAM)",https://www.flipkart.com/infinix-smart-7-night-black-128-gb/p/itm7b72b66485a59?pid=MOBGRH6YCHF2XEFB&lid=LSTMOBGRH6YCHF2XEFBXFULMV&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_17&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGRH6YCHF2XEFB.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹7,599",4.3,"62,266 Ratings","3,033 Reviews"
"Infinix SMART 7 (Azure Blue, 128 GB)  (4 GB RAM)",https://www.flipkart.com/infinix-smart-7-azure-blue-128-gb/p/itm7b72b66485a59?pid=MOBGRH6Y386CENMX&lid=LSTMOBGRH6Y386CENMXT973RF&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_18&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGRH6Y386CENMX.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹7,599",4.3,"62,266 Ratings","3,033 Reviews"
"Infinix SMART 7 (Emerald Green, 64 GB)  (4 GB RAM)",https://www.flipkart.com/infinix-smart-7-emerald-green-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2HFCMQY35&lid=LSTMOBGMTW2HFCMQY35R7FJQZ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_19&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGMTW2HFCMQY35.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹6,999",4.3,"62,266 Ratings","3,033 Reviews"
"POCO M6 Pro 5G (Power Black, 128 GB)  (6 GB RAM)",https://www.flipkart.com/poco-m6-pro-5g-power-black-128-gb/p/itmef8fa46f89738?pid=MOBGRNZ3ER4N3K4F&lid=LSTMOBGRNZ3ER4N3K4FIYYGCU&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_20&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGRNZ3ER4N3K4F.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹12,999",4.3,650 Ratings,57 Reviews
"POCO C55 (Power Black, 128 GB)  (6 GB RAM)",https://www.flipkart.com/poco-c55-power-black-128-gb/p/itm52dfc91751293?pid=MOBGMXSWPMRNGVGW&lid=LSTMOBGMXSWPMRNGVGWUDX773&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_21&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGMXSWPMRNGVGW.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹8,499",4.2,"37,400 Ratings","2,142 Reviews"
"POCO C55 (Forest Green, 128 GB)  (6 GB RAM)",https://www.flipkart.com/poco-c55-forest-green-128-gb/p/itm7ed4c1ff2689f?pid=MOBGMXSWCYATKHYR&lid=LSTMOBGMXSWCYATKHYRKSVQMR&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_22&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGMXSWCYATKHYR.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹8,499",4.2,"37,400 Ratings","2,142 Reviews"
"MOTOROLA e13 (Aurora Green, 64 GB)  (4 GB RAM)",https://www.flipkart.com/motorola-e13-aurora-green-64-gb/p/itmb52d8f826cd9a?pid=MOBGKHNBA55HDSZR&lid=LSTMOBGKHNBA55HDSZRHOAFME&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_23&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGKHNBA55HDSZR.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹7,299",4.0,"44,473 Ratings","3,655 Reviews"
"vivo T2x 5G (Glimmer Black, 128 GB)  (6 GB RAM)",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPKCQWJ4&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_24&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGZBFUF389GDMP.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹13,999",4.4,"1,10,908 Ratings","6,219 Reviews"
